iou actual,iou at p=0,coordinates at t=0,coordinates at t=1,calculated coordinates
0.956139191534333,0.907386261220148,"tensor([[488., 170.],
        [572., 170.],
        [572., 220.],
        [488., 220.]], device='cuda:0', dtype=torch.float64)","tensor([[484.0885, 170.1934],
        [568.5628, 170.1934],
        [568.5628, 220.8780],
        [484.0885, 220.8780]], device='cuda:0', dtype=torch.float64)","tensor([[484.4631, 170.2175],
        [565.7984, 170.2352],
        [567.9406, 219.8291],
        [486.6053, 219.8114]], device='cuda:0', dtype=torch.float64)"
0.962034829244461,0.910753540804573,"tensor([[480., 170.],
        [564., 170.],
        [564., 221.],
        [480., 221.]], device='cuda:0', dtype=torch.float64)","tensor([[476.5525, 170.6890],
        [560.1498, 170.6890],
        [560.1498, 220.8474],
        [476.5525, 220.8474]], device='cuda:0', dtype=torch.float64)","tensor([[476.4647, 170.3109],
        [557.8718, 170.3373],
        [560.3716, 221.0113],
        [478.9645, 220.9849]], device='cuda:0', dtype=torch.float64)"
0.969087956465872,0.913972388784864,"tensor([[473., 171.],
        [556., 171.],
        [556., 221.],
        [473., 221.]], device='cuda:0', dtype=torch.float64)","tensor([[469.2375, 171.3281],
        [551.8814, 171.3281],
        [551.8814, 220.9144],
        [469.2375, 220.9144]], device='cuda:0', dtype=torch.float64)","tensor([[469.6512, 171.1995],
        [550.4869, 171.1832],
        [552.2365, 221.0089],
        [471.4008, 221.0251]], device='cuda:0', dtype=torch.float64)"
0.970782207209233,0.910023958557716,"tensor([[466., 172.],
        [548., 172.],
        [548., 221.],
        [466., 221.]], device='cuda:0', dtype=torch.float64)","tensor([[461.9573, 171.8725],
        [543.7956, 171.8725],
        [543.7956, 220.9754],
        [461.9573, 220.9754]], device='cuda:0', dtype=torch.float64)","tensor([[462.6298, 172.2841],
        [542.5691, 172.2786],
        [544.2560, 221.0047],
        [464.3166, 221.0102]], device='cuda:0', dtype=torch.float64)"
0.943891804740941,0.912245908219915,"tensor([[458., 172.],
        [540., 172.],
        [540., 221.],
        [458., 221.]], device='cuda:0', dtype=torch.float64)","tensor([[454.8981, 172.6571],
        [535.9150, 172.6571],
        [535.9150, 221.2673],
        [454.8981, 221.2673]], device='cuda:0', dtype=torch.float64)","tensor([[454.5953, 172.4087],
        [534.2572, 172.3900],
        [536.7539, 221.0098],
        [457.0920, 221.0285]], device='cuda:0', dtype=torch.float64)"
0.949779587590691,0.914575623966617,"tensor([[450., 173.],
        [531., 173.],
        [531., 220.],
        [450., 220.]], device='cuda:0', dtype=torch.float64)","tensor([[446.4610, 173.3188],
        [528.2776, 173.3188],
        [528.2776, 221.2114],
        [446.4610, 221.2114]], device='cuda:0', dtype=torch.float64)","tensor([[446.7496, 173.3400],
        [525.4324, 173.3778],
        [527.7195, 220.0515],
        [449.0367, 220.0137]], device='cuda:0', dtype=torch.float64)"
0.949104255160593,0.915319128462795,"tensor([[443., 174.],
        [524., 174.],
        [524., 221.],
        [443., 221.]], device='cuda:0', dtype=torch.float64)","tensor([[439.7052, 174.4052],
        [520.6257, 174.4052],
        [520.6257, 221.7734],
        [439.7052, 221.7734]], device='cuda:0', dtype=torch.float64)","tensor([[439.9784, 174.6191],
        [517.9396, 174.5898],
        [520.8281, 221.0232],
        [442.8669, 221.0525]], device='cuda:0', dtype=torch.float64)"
0.95966099180108,0.916947496278437,"tensor([[436., 175.],
        [517., 175.],
        [517., 222.],
        [436., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[433.5482, 175.5519],
        [513.8442, 175.5519],
        [513.8442, 222.5545],
        [433.5482, 222.5545]], device='cuda:0', dtype=torch.float64)","tensor([[433.1468, 175.7553],
        [511.3981, 175.7469],
        [514.3080, 222.0482],
        [436.0566, 222.0566]], device='cuda:0', dtype=torch.float64)"
0.922235595849812,0.922511896536769,"tensor([[431., 176.],
        [510., 176.],
        [510., 223.],
        [431., 223.]], device='cuda:0', dtype=torch.float64)","tensor([[426.8799, 176.6594],
        [506.2902, 176.6594],
        [506.2902, 221.2080],
        [426.8799, 221.2080]], device='cuda:0', dtype=torch.float64)","tensor([[428.2612, 176.4384],
        [504.5455, 176.4111],
        [507.2675, 223.0224],
        [430.9832, 223.0496]], device='cuda:0', dtype=torch.float64)"
0.958619156052088,0.926428787339631,"tensor([[424., 177.],
        [504., 177.],
        [504., 222.],
        [424., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[420.8553, 177.5517],
        [500.3668, 177.5517],
        [500.3668, 222.2769],
        [420.8553, 222.2769]], device='cuda:0', dtype=torch.float64)","tensor([[421.0780, 177.2494],
        [499.0912, 177.2523],
        [501.3337, 222.0124],
        [423.3205, 222.0096]], device='cuda:0', dtype=torch.float64)"
0.953231913201687,0.936363678031544,"tensor([[418., 178.],
        [497., 178.],
        [497., 222.],
        [418., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[415.5177, 178.1933],
        [494.1836, 178.1933],
        [494.1836, 222.4428],
        [415.5177, 222.4428]], device='cuda:0', dtype=torch.float64)","tensor([[415.6765, 178.2240],
        [491.8858, 178.2237],
        [494.4622, 222.0013],
        [418.2529, 222.0016]], device='cuda:0', dtype=torch.float64)"
0.934513632984334,0.939421722844187,"tensor([[413., 178.],
        [491., 178.],
        [491., 222.],
        [413., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[410.6919, 178.4143],
        [488.4979, 178.4143],
        [488.4979, 222.1801],
        [410.6919, 222.1801]], device='cuda:0', dtype=torch.float64)","tensor([[410.9301, 178.0673],
        [486.2367, 177.9887],
        [488.4841, 221.8996],
        [413.1776, 221.9782]], device='cuda:0', dtype=torch.float64)"
0.95576555620853,0.941220550992847,"tensor([[407., 178.],
        [486., 178.],
        [486., 221.],
        [407., 221.]], device='cuda:0', dtype=torch.float64)","tensor([[404.4843, 178.1349],
        [484.1891, 178.1349],
        [484.1891, 221.9726],
        [404.4843, 221.9726]], device='cuda:0', dtype=torch.float64)","tensor([[404.8368, 178.1419],
        [481.3618, 178.0679],
        [483.6023, 220.9390],
        [407.0773, 221.0130]], device='cuda:0', dtype=torch.float64)"
0.961469497106867,0.944043763464285,"tensor([[402., 178.],
        [481., 178.],
        [481., 222.],
        [402., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[399.7265, 178.4191],
        [478.8291, 178.4191],
        [478.8291, 221.9256],
        [399.7265, 221.9256]], device='cuda:0', dtype=torch.float64)","tensor([[399.6913, 178.1349],
        [476.5281, 178.0798],
        [478.9595, 221.9660],
        [402.1227, 222.0210]], device='cuda:0', dtype=torch.float64)"
0.9553315651091,0.945015759952764,"tensor([[398., 178.],
        [476., 178.],
        [476., 222.],
        [398., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[395.2277, 178.5348],
        [473.8447, 178.5348],
        [473.8447, 221.7741],
        [395.2277, 221.7741]], device='cuda:0', dtype=torch.float64)","tensor([[395.7943, 178.1091],
        [471.5288, 178.0102],
        [473.9727, 221.9057],
        [398.2383, 222.0046]], device='cuda:0', dtype=torch.float64)"
0.92496865900777,0.939470621446677,"tensor([[393., 179.],
        [471., 179.],
        [471., 222.],
        [393., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[388.3386, 179.5856],
        [466.3212, 179.5856],
        [466.3212, 221.1857],
        [388.3386, 221.1857]], device='cuda:0', dtype=torch.float64)","tensor([[390.9132, 179.2817],
        [466.4687, 179.2876],
        [468.8710, 222.0184],
        [393.3155, 222.0125]], device='cuda:0', dtype=torch.float64)"
0.963487208321093,0.936941629428299,"tensor([[386., 180.],
        [464., 180.],
        [464., 222.],
        [386., 222.]], device='cuda:0', dtype=torch.float64)","tensor([[383.2514, 180.6402],
        [461.7866, 180.6402],
        [461.7866, 222.3931],
        [383.2514, 222.3931]], device='cuda:0', dtype=torch.float64)","tensor([[383.6914, 180.4410],
        [460.0624, 180.4347],
        [461.9106, 222.0080],
        [385.5396, 222.0143]], device='cuda:0', dtype=torch.float64)"
0.961108636994735,0.938818279256717,"tensor([[381., 181.],
        [459., 181.],
        [459., 223.],
        [381., 223.]], device='cuda:0', dtype=torch.float64)","tensor([[378.9318, 181.3522],
        [456.6255, 181.3522],
        [456.6255, 222.6578],
        [378.9318, 222.6578]], device='cuda:0', dtype=torch.float64)","tensor([[379.1006, 181.3068],
        [454.7746, 181.2374],
        [456.9600, 222.9941],
        [381.2859, 223.0635]], device='cuda:0', dtype=torch.float64)"
0.941328761634208,0.936656825724898,"tensor([[377., 182.],
        [454., 182.],
        [454., 223.],
        [377., 223.]], device='cuda:0', dtype=torch.float64)","tensor([[374.4972, 182.0780],
        [452.4587, 182.0780],
        [452.4587, 223.5259],
        [374.4972, 223.5259]], device='cuda:0', dtype=torch.float64)","tensor([[375.1820, 182.5076],
        [449.8984, 182.6514],
        [451.9745, 223.0807],
        [377.2581, 222.9369]], device='cuda:0', dtype=torch.float64)"
0.953980112415724,0.946208179840954,"tensor([[373., 183.],
        [450., 183.],
        [450., 223.],
        [373., 223.]], device='cuda:0', dtype=torch.float64)","tensor([[371.1401, 183.4158],
        [448.5841, 183.4158],
        [448.5841, 224.1235],
        [371.1401, 224.1235]], device='cuda:0', dtype=torch.float64)","tensor([[371.2649, 183.3247],
        [446.2799, 183.4996],
        [448.0686, 223.0616],
        [373.0536, 222.8867]], device='cuda:0', dtype=torch.float64)"
0.968956940282016,0.950108214565128,"tensor([[369., 184.],
        [447., 184.],
        [447., 224.],
        [369., 224.]], device='cuda:0', dtype=torch.float64)","tensor([[367.5993, 184.1587],
        [444.4821, 184.1587],
        [444.4821, 224.5715],
        [367.5993, 224.5715]], device='cuda:0', dtype=torch.float64)","tensor([[367.4085, 184.4386],
        [444.1883, 184.5266],
        [445.0935, 224.0474],
        [368.3136, 223.9594]], device='cuda:0', dtype=torch.float64)"
0.959849899580705,0.956334173551879,"tensor([[366., 185.],
        [443., 185.],
        [443., 225.],
        [366., 225.]], device='cuda:0', dtype=torch.float64)","tensor([[365.4060, 185.1189],
        [440.9734, 185.1189],
        [440.9734, 224.8402],
        [365.4060, 224.8402]], device='cuda:0', dtype=torch.float64)","tensor([[364.6772, 185.3981],
        [440.4305, 185.4479],
        [441.6027, 225.0475],
        [365.8493, 224.9978]], device='cuda:0', dtype=torch.float64)"
0.961312517642729,0.968589111614226,"tensor([[361., 185.],
        [439., 185.],
        [439., 225.],
        [361., 225.]], device='cuda:0', dtype=torch.float64)","tensor([[359.9136, 185.3245],
        [438.5098, 185.3245],
        [438.5098, 226.1149],
        [359.9136, 226.1149]], device='cuda:0', dtype=torch.float64)","tensor([[360.5428, 185.2322],
        [436.8874, 185.3356],
        [437.3557, 225.0750],
        [361.0111, 224.9716]], device='cuda:0', dtype=torch.float64)"
0.974481635324254,0.973633840167907,"tensor([[359., 186.],
        [437., 186.],
        [437., 226.],
        [359., 226.]], device='cuda:0', dtype=torch.float64)","tensor([[358.0942, 185.6445],
        [435.8526, 185.6445],
        [435.8526, 226.0001],
        [358.0942, 226.0001]], device='cuda:0', dtype=torch.float64)","tensor([[358.5703, 185.9682],
        [435.1238, 186.0785],
        [435.5002, 226.0417],
        [358.9467, 225.9313]], device='cuda:0', dtype=torch.float64)"
0.979295613341243,0.976244710329275,"tensor([[357., 186.],
        [435., 186.],
        [435., 226.],
        [357., 226.]], device='cuda:0', dtype=torch.float64)","tensor([[355.9393, 185.8482],
        [433.4435, 185.8482],
        [433.4435, 226.0719],
        [355.9393, 226.0719]], device='cuda:0', dtype=torch.float64)","tensor([[356.3203, 185.9951],
        [433.1438, 186.0594],
        [433.7621, 226.0338],
        [356.9387, 225.9696]], device='cuda:0', dtype=torch.float64)"
